,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos,cluster_kpca_rbf
0,Retail,Other,12669,9656,7561,214,2674,1338,0.0528736785139059,-0.0957020283339393,0.0783737058955513,-0.1731146036428406,0.5047893015158403,0.0096223066473778,0
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.1296461840164294,-0.1604581212978699,0.1858125464129079,-0.3074147140645972,0.8899412223120093,-0.2628329463279438,0
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.2102053726966705,0.0484460464626562,0.3417015381326229,0.0750477517055767,0.4739940541267172,0.2356868332458659,0
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.2162432260582773,0.1051649668310389,-0.2533035236583454,0.2503524263190761,-0.6186114271241641,0.3701305442802817,1
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495,0.2654316269575649,0.1366167136889866,0.3752792354602771,0.0688995379431259,0.8618293827365119,1
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.0364662973611465,-0.1328454886814096,-0.0889533043384345,-0.2122647116921358,0.1029562952794653,-0.3304564801092653,2
6,Retail,Other,12126,3199,6975,480,3140,545,-0.0697155932203247,-0.117326210828815,-0.1435304125938086,-0.1663058931990574,-0.092167962417776,-0.2898919276536128,2
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.0437594438429185,-0.1466191388393939,0.0408969858378436,-0.2627155987279702,0.5540934639173397,-0.3475508620366147,0
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.0967501988690222,-0.2050602908981756,-0.2204840295429029,-0.3051577883697474,-0.1557890142344767,-0.6896927304727347,2
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.4936685721899781,-0.155556008011118,0.7089688368462721,-0.2911925018216326,1.1648509491774433,0.0237467249064678,4
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.210677809018827,-0.1696435955528316,0.3197406409241957,-0.3065245780476246,0.8649020932926696,-0.1928630625234259,0
11,Retail,Other,13146,1124,4523,1420,549,497,-0.2215069356965094,-0.0430198109610861,-0.3554518255692503,0.013874803248532,-0.6524416952788548,-0.1063867317186097,2
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660783,0.2930467306242139,0.3854465445073938,0.335728836680736,0.5189256754099237,0.8891844129165526,3
13,Retail,Other,21217,6208,14982,3095,6707,602,0.2249237128229279,0.0841269971533132,0.3895006007283214,0.0593738132753484,0.7459587900333249,0.6652437528164215,0
14,Retail,Other,24653,9465,12091,294,5058,2168,0.1961539516183539,0.1302305498706685,0.3555111665729342,0.1442177849516534,0.6716997036238871,0.7605400813714226,0
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.2060461349804701,-0.1161048658801887,-0.3543552000608613,-0.1102185939024887,-0.5245171920456189,-0.3477885584442488,2
16,Retail,Other,1020,8816,12121,134,4508,1080,0.2274828041034748,-0.2846927365653204,0.3226356449874309,-0.472218997711166,0.8519358136546632,-0.5460352667323772,0
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.0717642353763473,-0.0875503873566999,-0.0700024989623081,-0.0903504726431189,-0.0332202932966466,-0.1149311364462007,2
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.039925904486973,0.0840268961984428,0.1165419191621631,0.1178531247600943,0.3876603752214007,0.8429922154646659,1
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.0448456718470473,-0.1851956296045371,-0.1202275540690467,-0.2835482007710933,0.044765436443674,-0.552769950392241,2
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.1109540461935767,0.033446974836404,-0.1469002107674542,0.0995711389693874,-0.3075208902858989,0.4431883052888919,1
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.2435317728056087,-0.1131100670948573,-0.3995107138663481,-0.0926408201774208,-0.6188073618880083,-0.3876127760478735,2
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,-0.0680514435314904,0.5381913850229701,0.2043599877320015,0.6356359259636721,-0.1560043348914214,1.005037085312467,3
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.4514279462992258,0.4340437448097883,0.3902661572691502,0.2569496025734213,0.7065213342862834,0.6250312465235663,3
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.2635648263851927,0.2284983286687018,0.4278165407333472,0.2247836866072279,0.6516647402081205,0.8093177360160555,3
25,Retail,Other,16165,4230,7595,201,4003,57,-0.0234008802908243,-0.0594955306577029,-0.0316351287340542,-0.0725509516099864,0.1145297412942821,0.0681269264664043,2
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.249704766904573,-0.0486856167610058,-0.4001406036273938,0.0085354146973484,-0.7423357127810755,-0.1765751160825625,2
27,HoReCa,Other,14276,803,3045,485,100,518,-0.2491491000458861,-0.0275134990205901,-0.3700525126455127,0.0539179192140348,-0.6391505057184967,-0.0743834727470308,2
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7542725293909498,0.040203156009019,0.7016207368605811,0.0731014575080406,1.1249453280505726,0.2130374858337625,4
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.126384794793767,0.5346064697582528,0.1826835473898078,0.681484044591124,-0.276492610224019,0.8502143237539167,3
30,HoReCa,Other,18815,3610,11107,1148,2134,2963,-0.0074070374136949,0.0672579870506515,0.0431192171267254,0.1174533592420153,0.1649308331734674,0.6234542505990078,1
31,HoReCa,Other,2612,4339,3133,2088,820,985,-0.1495495118412635,-0.1997347702174703,-0.2947866262456746,-0.2721066923785621,-0.320283227744894,-0.65436152009101,2
32,HoReCa,Other,21632,1318,2886,266,918,405,-0.2268519676811979,0.1012460246262356,-0.2515720524686857,0.2660610840718828,-0.5331976714561585,0.3096951135050877,1
33,HoReCa,Other,29729,4786,7326,6130,361,1083,-0.1282850581623544,0.3998990975053439,0.0418235028907644,0.626332710568475,-0.2657127763492748,1.016017675868507,3
34,HoReCa,Other,1502,1979,2262,425,483,395,-0.1891955365156336,-0.2338404951337585,-0.3395076127492348,-0.2859829888576616,-0.3553345601724847,-0.6617378578423454,2
35,Retail,Other,688,5491,11091,833,4239,436,0.1256768007670738,-0.2926489592380957,0.15318548998698,-0.4720462749746824,0.6000385488030902,-0.6994720898570786,0
36,HoReCa,Other,29955,4362,5428,1729,862,4626,-0.0749077844067776,0.3587250569986075,0.115790783349666,0.5158516314924024,-0.1089655907629361,0.8729278267080993,3
37,Retail,Other,15168,10556,12477,1920,6506,714,0.2779010566489662,-0.0451459562810255,0.4474462104001663,-0.1505560759794118,1.011085471493387,0.3545071689871444,0
38,Retail,Other,4591,15729,16709,33,6956,433,0.5088895400207489,-0.1799297296670468,0.6931422223897346,-0.2710746455693035,1.066999096572845,-0.086689726051108,4
39,HoReCa,Other,56159,555,902,10002,212,2916,0.0011534773885991,0.8220882021752697,0.3812905631536106,0.5589487619332957,-0.2658160897709324,1.052055768848105,3
40,HoReCa,Other,24025,4332,4757,9510,1145,5864,-0.0322399555483813,0.4461745338424915,0.2115296314258812,0.515850156728605,-0.0706633043811799,0.8768592401126596,3
41,HoReCa,Other,19176,3065,5956,2033,2575,2802,-0.0980204743505113,0.096327570383587,-0.0923003554552329,0.1966869002686493,-0.2267615344055902,0.6812704745370014,1
42,Retail,Other,10850,7555,14961,188,6899,46,0.2988971777641696,-0.1573763642604778,0.4630010122647914,-0.2927065312654562,0.9339095988837426,-0.0414959310347143,0
43,Retail,Other,630,11095,23998,787,9529,72,0.6333539368942155,-0.1807996435040965,0.7874656499758459,-0.2060123987575111,1.0782110305381698,-0.1264071613347102,4
44,Retail,Other,9670,7027,10471,541,4618,65,0.1182193918742671,-0.1763370985665657,0.1684614369656231,-0.316067426755096,0.6993504189316263,-0.3014026813903077,0
45,Retail,Other,5181,22044,21531,1740,7353,4985,0.6897964496445715,0.0359430263491799,0.6868279055313025,0.0530477972602484,1.083771145978029,0.2388126338146775,4
46,Retail,Other,3103,14069,21955,1668,6792,1452,0.5735478600785705,-0.1520391494761326,0.7630314684360971,-0.2376643694653712,1.13625408372397,-0.0078443129381516,4
47,Retail,Other,44466,54259,55571,7782,24171,6465,0.434945325630262,0.4415408749362437,0.3902727289147304,0.2579669885514342,1.0468195374740166,0.6355703661769259,3
48,Retail,Other,11519,6152,10868,584,5121,1476,0.1356187234987038,-0.1317694543457372,0.206545155313278,-0.2600170566936904,0.8848206201740578,-0.0662841169676154,0
49,Retail,Other,4967,21412,28921,1798,13583,1163,0.8621295544651945,0.0605727961283939,0.7289714387313021,0.1158823681764616,1.1659077580747392,0.1655320277455525,4
50,HoReCa,Other,6269,1095,1980,3860,609,2162,-0.2210588689287805,-0.0708096016947911,-0.3430795910530942,-0.0359733479161727,-0.5820706110905141,-0.2261973041128457,2
51,HoReCa,Other,3347,4051,6996,239,1538,301,-0.0720433736561101,-0.2487907956041573,-0.1808690502894265,-0.3679504169323376,-0.0287229449394197,-0.7430876992955522,2
52,Retail,Other,40721,3916,5876,532,2587,1278,-0.052117528573165,0.4684989831224592,0.2038552173913669,0.6261716702573181,-0.0867495726641709,0.8909028791210403,3
53,Retail,Other,491,10473,11532,744,5611,224,0.2789470212329287,-0.281019265186206,0.403949333133273,-0.449132135912335,0.8740988275952073,-0.4758487853096406,0
54,HoReCa,Other,27329,1449,1947,2436,204,1333,-0.2452630725767847,0.286008111170812,-0.162629922946002,0.536716972297852,-0.5661236177888774,0.6849596429801801,1
55,HoReCa,Other,5264,3683,5005,1057,2024,1130,-0.103712866569735,-0.1997366429537304,-0.233658734818708,-0.298858883508922,-0.2019424298597647,-0.721025598211594,2
56,Retail,Other,4098,29892,26866,2616,17740,1340,0.8391977821271885,0.2042963808710113,0.54263980382642,0.2327742150149677,1.134548230271106,0.2008058468552763,4
57,Retail,Other,5417,9933,10487,38,7572,1282,0.318542213461867,-0.2207131181215313,0.4746777128635699,-0.3834965416127781,0.990674583048006,-0.2410497362731371,0
58,HoReCa,Other,13779,1970,1648,596,227,436,-0.2501364703788843,-0.0351243708703211,-0.3782829305730563,0.038965550005332,-0.6503694520222102,-0.1023503520359432,2
59,HoReCa,Other,6137,5360,8040,129,3084,1603,0.0189683718951048,-0.212488864970214,-0.0220229337537934,-0.3573458414066495,0.3731213086902085,-0.6586893364667846,0
60,Retail,Other,8590,3045,7854,96,4095,225,-0.0115112333898755,-0.1927538496606906,-0.0598305198966567,-0.2986881440336674,0.1794932623136868,-0.5060044485503938,2
61,Retail,Other,35942,38369,59598,3254,26701,2017,0.5104345084293169,0.4434218772621709,0.3929913970367595,0.2596203904566626,1.096396168156771,0.5179666938410352,3
62,Retail,Other,7823,6245,6544,4154,4074,964,0.0090102239630968,-0.1133137786238185,-0.0096999481190707,-0.1962110688577542,0.3534299733656377,-0.3086495975566462,2
63,Retail,Other,9396,11601,15775,2896,7677,1295,0.4270871287557402,-0.1007127399532314,0.640191870600562,-0.2409979989295627,1.155806895392095,0.1786350492521056,0
64,HoReCa,Other,4760,1227,3250,3724,1247,1145,-0.1948994913015229,-0.1272040065495642,-0.3396877340483363,-0.1347791205181508,-0.5182627933852388,-0.4322266616355369,2
65,Retail,Other,85,20959,45828,36,24231,1423,0.7539503554469699,0.3101013874055398,0.4410358671167105,0.2616736195916984,1.1483957385883077,0.1352469320900656,4
66,HoReCa,Other,9,1534,7417,175,3468,27,-0.0257408512864341,-0.2970617423148748,-0.09322374084289,-0.4130771376120034,0.1062588671903031,-0.7534036783570165,2
67,Retail,Other,19913,6759,13462,1256,5141,834,0.1625888075147995,0.0289136767797279,0.2924046416705134,0.0001268740718932,0.7219711661891853,0.57781759849562,0
68,HoReCa,Other,2446,7260,3993,5870,788,3095,-0.0597202743447783,-0.0674909329470752,-0.0599707011697157,-0.0629219989364078,-0.0151727207401401,-0.0958264945212768,2
69,HoReCa,Other,8352,2820,1293,779,656,144,-0.2217294468127834,-0.1336712303111615,-0.3794441601753928,-0.1354681585972589,-0.5404623323910834,-0.4177517515871896,2
70,HoReCa,Other,16705,2037,3202,10643,116,1365,-0.1929747535756292,0.2927414674822367,-0.0506065913223718,0.4810257519427728,-0.4214474336569586,0.5814482961589554,1
71,HoReCa,Other,18291,1266,21042,5373,4173,14472,0.3614768718640653,0.393844530829971,0.399259755189395,0.2634750903712735,0.4284467783983809,0.5388427699211272,3
72,HoReCa,Other,4420,5139,2661,8872,1321,181,-0.1307165970681751,0.0071394196169909,-0.1113543513841284,0.0960735549759147,-0.2354513943970502,-0.0033438994733019,2
73,Retail,Other,19899,5332,8713,8132,764,648,-0.0958108418963649,0.2452898771141959,0.0008987162689015,0.4094083190417788,-0.1884618283415242,0.8126110518976687,1
74,Retail,Other,8190,6343,9794,1285,1901,1780,0.0156350177712668,-0.1495706831106977,-0.0107208200281699,-0.262440564367948,0.425095863972638,-0.4536534663942194,2
75,HoReCa,Other,20398,1137,3,4407,3,975,-0.2927946967282023,0.1966879682008659,-0.2988019728448939,0.4165342524963791,-0.7545245986949444,0.477577904138473,1
76,HoReCa,Other,717,3587,6532,7530,529,894,-0.1078183422764664,-0.0829836417891992,-0.1282246715305856,-0.0465470881069783,-0.1647623281565941,-0.2179663842773194,2
77,Retail,Other,12205,12697,28540,869,12034,1009,0.7513010200440421,0.0126066727070234,0.7923752448833208,0.0076415899235874,1.120639496277413,0.2419467109294494,4
78,HoReCa,Other,10766,1175,2067,2096,301,167,-0.2574395111741396,-0.0620719370358333,-0.4098498165501623,-0.0068832712708617,-0.7004238678739123,-0.2178807568443945,2
79,HoReCa,Other,1640,3259,3655,868,1202,1653,-0.1279596927044022,-0.2297405109441161,-0.2610406538069766,-0.31847176755985,-0.2098209709759303,-0.6871863036900917,2
80,HoReCa,Other,7005,829,3009,430,610,529,-0.2168706693463673,-0.1581900944804491,-0.3779155808867272,-0.1730841990779726,-0.5043193191568105,-0.48017273279404,2
81,Retail,Other,219,9540,14403,283,7818,156,0.3976279742424212,-0.2772839137719737,0.5725819154133496,-0.4145797417023828,0.9656659322700974,-0.3749778514272843,0
82,Retail,Other,10362,9232,11009,737,3537,2342,0.155620339008792,-0.1193562313766878,0.2402263946635041,-0.2448420655760986,0.9380307119266688,0.022311778152917,0
83,HoReCa,Other,20874,1563,1783,2320,550,772,-0.2576563583225598,0.1398862532396066,-0.2961826933974484,0.3308141844880722,-0.6908481647038799,0.4260821525637058,1
84,Retail,Other,11867,3327,4814,1178,3837,120,-0.0860399135778701,-0.1111709680109187,-0.1648772854952065,-0.1475219150071061,-0.1594503614157026,-0.272854921535876,2
85,Retail,Other,16117,46197,92780,1026,40827,2944,0.37939781887327,0.4217476697144812,0.3883366736832281,0.2562637349561324,1.1496273046754084,0.3385310835504959,3
86,Retail,Other,22925,73498,32114,987,20070,903,0.4049039217136693,0.4209787594450973,0.3884367447992928,0.2563393057786999,0.9724824531993256,0.3833676285205042,3
87,HoReCa,Other,43265,5025,8117,6312,1579,14351,0.2789329798705155,0.5687683065439961,0.39483034971194,0.2825635724817166,0.1771470297673002,0.8374567839151436,3
88,HoReCa,Other,7864,542,4042,9735,165,46,-0.2014511206756206,0.1014060187765873,-0.1416351099577707,0.2473306821759162,-0.4201080075104554,0.1415906162685683,1
89,HoReCa,Other,24904,3836,5330,3443,454,3178,-0.1469561153386978,0.2756174663879382,-0.0538576201327925,0.4779438454720919,-0.3295105011262146,0.9016782884608256,1
90,HoReCa,Other,11405,596,1638,3347,69,360,-0.2786526625861946,-0.013904429429952,-0.4136609279751089,0.0791379530274061,-0.7648710686059701,-0.0858534338884122,2
91,HoReCa,Other,12754,2762,2530,8693,627,1117,-0.2045926824044477,0.1561609175581232,-0.1736276102205255,0.3225087737341822,-0.4874605703811686,0.3928984954587655,1
92,Retail,Other,9198,27472,32034,3232,18906,5130,0.8333454214028618,0.2811143014915986,0.5108182391595906,0.2552528225022177,1.1548350904369968,0.3403682040082508,4
93,HoReCa,Other,11314,3090,2062,35009,71,2698,0.2824341417452912,0.5047582272413778,0.3900350151310968,0.2639131765015504,-0.0413992230110359,0.5324876653575953,3
94,Retail,Other,5626,12220,11323,206,5038,244,0.2720800867303909,-0.2167782967204375,0.4048812679722288,-0.3705245523594407,0.902849102002835,-0.2678894435767461,0
95,HoReCa,Other,3,2920,6252,440,223,709,-0.1177795208903556,-0.2632076086518808,-0.2406006008985143,-0.3535239289116528,-0.1529424814170088,-0.7259523252920129,2
96,Retail,Other,23,2616,8118,145,3874,217,0.0168196490582881,-0.3038568881263291,-0.0288941034895179,-0.4430106441334656,0.2375636987341919,-0.7668978256775625,0
97,HoReCa,Other,403,254,610,774,54,63,-0.2329047651845157,-0.2200037043466412,-0.3641455518920082,-0.228786746635816,-0.438479189490325,-0.6101071903197048,2
98,HoReCa,Other,503,112,778,895,56,132,-0.2339612330142165,-0.2170458592512948,-0.3674269063091252,-0.2259608767153831,-0.4447429754030153,-0.6054946701786983,2
99,HoReCa,Other,9658,2182,1909,5639,215,323,-0.2476301522037761,0.0080207044328452,-0.3449825426219667,0.1079856453539181,-0.6720002351437817,-0.0122783770948642,1
100,Retail,Other,11594,7779,12144,3252,8035,3029,0.3096213680984108,-0.0435806572389299,0.4811708315362791,-0.1490536429134605,1.0212350486524613,0.3420047572090169,0
101,Retail,Other,1420,10810,16267,1593,6766,1838,0.427407379558279,-0.2224780326197228,0.6231583558865993,-0.37777942194277,1.1107038954484223,-0.1990924706560797,0
102,Retail,Other,2932,6459,7677,2561,4573,1386,0.0826856433382287,-0.2222409111386711,0.0890065892292742,-0.384793853631964,0.6231288952200017,-0.6441470321122069,0
103,HoReCa,Other,56082,3504,8906,18028,1480,2498,0.1565782202441258,0.8031950337830328,0.40849070562391,0.3960700673826256,-0.0557964397201103,1.0789826233293731,3
104,HoReCa,Other,14100,2132,3445,1336,1491,548,-0.2003629111033985,-0.036189503403974,-0.3249884778073257,0.0174604084861221,-0.6290412356346764,-0.0566967193189361,2
105,HoReCa,Other,15587,1014,3970,910,139,1378,-0.232252887522796,0.011321915828107,-0.3355261292554218,0.108810626319095,-0.6500958512772905,0.0909704299069045,1
106,Retail,Other,1454,6337,10704,133,6830,1831,0.2467891918992701,-0.2733173503213814,0.3559703986970573,-0.4454110428548869,0.8500377029836901,-0.4713498439595622,0
107,Retail,Other,8797,10646,14886,2471,8969,1438,0.4448187308810754,-0.1162643295030711,0.6569576061315466,-0.2530671506188994,1.1328766118030589,0.1254825523478919,0
108,Retail,Other,1531,8397,6981,247,2505,1236,0.0537621024341712,-0.2665473704773537,0.0325459629134981,-0.4257323949664454,0.4199245156610681,-0.6923183687253205,0
109,Retail,Other,1406,16729,28986,673,836,3,0.5044140636183124,-0.0840493687161528,0.5670440133693176,-0.0217642972160026,0.8466076744483273,-0.0329378435857662,4
110,HoReCa,Other,11818,1648,1694,2276,169,1647,-0.2506369133641355,-0.0198025620501029,-0.3856418282991101,0.0533820870217475,-0.7471941380562044,-0.0523690051148903,2
111,Retail,Other,12579,11114,17569,805,6457,1519,0.4075813766569814,-0.0860270504235144,0.6149712853516303,-0.2154250151171669,1.1266111371117138,0.2332482770827163,0
112,HoReCa,Other,19046,2770,2469,8853,483,2708,-0.1877394602049743,0.3030277920803275,-0.0658696226125343,0.5015456168575976,-0.4273205034288174,0.7242482326350227,1
113,HoReCa,Other,14438,2295,1733,3220,585,1561,-0.2421210188531181,0.042591397967248,-0.3489118357948728,0.1564768840853582,-0.7945223177263407,0.1998376969486065,1
114,HoReCa,Other,18044,1080,2000,2555,118,1266,-0.2678732095799687,0.100168150484509,-0.341147287616422,0.2651940618756577,-0.7609371665114105,0.3218048939116356,1
115,HoReCa,Other,11134,793,2988,2715,276,610,-0.2529665448871014,-0.0401167668845971,-0.4010285754637831,0.0256201598903783,-0.7446736549222278,-0.1425020654685164,2
116,HoReCa,Other,11173,2521,3355,1517,310,222,-0.2226554816507397,-0.076496345629763,-0.3728441164416735,-0.0453314027798647,-0.6432933308950811,-0.2430237116066705,2
117,HoReCa,Other,6990,3880,5380,1647,319,1160,-0.1539050524791379,-0.1443901526044851,-0.2976324734428259,-0.1925040954186266,-0.4455800242829277,-0.5152476244213481,2
118,HoReCa,Other,20049,1891,2362,5343,411,933,-0.2514490006307343,0.1992246421210071,-0.2559813286399122,0.4135922402946952,-0.6971472467333839,0.5924811188205426,1
119,HoReCa,Other,8258,2344,2147,3896,266,635,-0.2382797547231267,-0.0619318232821247,-0.3848570462579948,-0.0170458200572828,-0.6973197868558391,-0.2287408143446554,2
120,HoReCa,Other,17160,1200,3412,2417,174,1136,-0.2493715842704665,0.0713664430422109,-0.3382159568239348,0.2135576182307944,-0.7517771197964326,0.2784161754866313,1
121,HoReCa,Other,4020,3234,1498,2395,264,255,-0.2138172427676869,-0.1640909180505692,-0.3725792335888263,-0.1856308981924437,-0.5004713871574354,-0.5266646762265578,2
122,HoReCa,Other,12212,201,245,1991,25,860,-0.2920182234685899,-0.0160833347300647,-0.4243548389161236,0.0787740927148514,-0.7554520510958849,-0.0926780491976599,2
123,Retail,Other,11170,10769,8814,2194,1976,143,0.0564579047570662,-0.0895018043670564,0.0905444361469322,-0.1608983131166894,0.4593130169470623,0.0058752315085953,0
124,HoReCa,Other,36050,1642,2961,4787,500,1621,-0.1845628932857454,0.5070191477599812,0.0683310123145826,0.7353255086402105,-0.3941619148470346,0.941158657355024,3
125,HoReCa,Other,76237,3473,7102,16538,778,918,0.2260704099784063,0.773228426709065,0.4068230009577627,0.3174255981544434,-0.0984348279280446,1.093450565695108,3
126,HoReCa,Other,19219,1840,1658,8195,349,483,-0.2442222450626351,0.2589809485847653,-0.168820619449675,0.4750716088009591,-0.5803246006671852,0.5714711329502034,1
127,Retail,Other,21465,7243,10685,880,2386,2749,0.0499270787591243,0.1069772811605288,0.1450513054702249,0.1589749878026471,0.3682469583780525,0.7896823044663954,1
128,HoReCa,Other,140,8847,3823,142,1062,3,-0.0338306720231998,-0.2678394706343452,-0.0901617949655838,-0.3645627782042601,0.094249873072999,-0.6576480425920512,2
129,HoReCa,Other,42312,926,1510,1718,410,1819,-0.1553662196808629,0.5523462486611448,0.165211773547286,0.7019507615988395,-0.3444181385930854,0.8609681703287699,3
130,HoReCa,Other,7149,2428,699,6316,395,911,-0.2384409350211156,-0.004176569377076,-0.3181928187011845,0.0879120828346944,-0.5974332488235776,-0.0593631645541837,2
131,HoReCa,Other,2101,589,314,346,70,310,-0.238152912910091,-0.2058793162490202,-0.379024124874507,-0.2158708218497769,-0.4635785010345355,-0.5787137976395581,2
132,HoReCa,Other,14903,2032,2479,576,955,328,-0.2245544840944988,-0.0277500668684564,-0.3417193943007154,0.0454706096543444,-0.6021386610561439,-0.049941192020879,2
133,HoReCa,Other,9434,1042,1235,436,256,396,-0.2529158472299519,-0.1089468037104452,-0.4060073391274108,-0.0804023943253725,-0.6026583826788329,-0.3390176928857709,2
134,HoReCa,Other,7388,1882,2174,720,47,537,-0.2317723641923895,-0.1409128159196985,-0.3963433707492266,-0.1446257596988298,-0.5606181849094807,-0.4407051920326436,2
135,HoReCa,Other,6300,1289,2591,1170,199,326,-0.2303398681292133,-0.1529564166054957,-0.3973277426183895,-0.1621799881117453,-0.5495345274104397,-0.4815972133534387,2
136,HoReCa,Other,4625,8579,7030,4575,2447,1542,0.0259621054175912,-0.1288970989257549,0.021893285183876,-0.2159418420701769,0.3741944617519522,-0.2856755098802167,2
137,HoReCa,Other,3087,8080,8282,661,721,36,-0.0061993991004574,-0.2367435759723471,-0.0535851557226458,-0.3549901624963503,0.192589748771051,-0.607783732240409,2
138,HoReCa,Other,13537,4257,5034,155,249,3271,-0.1270141405332341,-0.0151945870133375,-0.1655363597796509,0.0234263812504215,-0.2504550973156519,0.1238353105166323,2
139,HoReCa,Other,5387,4979,3343,825,637,929,-0.1474129484665287,-0.1846504748870702,-0.2905099077731142,-0.2537742241842666,-0.3261147138942428,-0.5968350946932289,2
140,HoReCa,Other,17623,4280,7305,2279,960,2616,-0.1081588547861676,0.0771457631879222,-0.1217780309821256,0.1656980331783362,-0.3123403321213218,0.6598433811338883,1
141,HoReCa,Other,30379,13252,5189,321,51,1450,0.0025600922844107,0.2918447484906805,0.185510012385197,0.4062312882445629,0.082264442345702,0.7478100019184146,3
142,HoReCa,Other,37036,7152,8253,2995,20,3,-0.0690397456513294,0.4490114865836899,0.1675158288583934,0.6198053550109616,-0.1170838405711979,0.9194240321215172,3
143,HoReCa,Other,10405,1596,1096,8425,399,318,-0.2405309921351825,0.1076498297692543,-0.2282951952676471,0.2630504415821837,-0.5512430953970939,0.1882623661400524,1
144,HoReCa,Other,18827,3677,1988,118,516,201,-0.2181630329551309,0.0423781939048815,-0.2776535426398609,0.1640173097488731,-0.5274023981279824,0.1708198170267595,1
145,Retail,Other,22039,8384,34792,42,12591,4430,0.7117027383037547,0.1938787887174533,0.5947264081346477,0.1739691187312577,1.006141229184227,0.4679103827562514,4
