,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos
0,Retail,Other,12669,9656,7561,214,2674,1338,0.05287367851390593,-0.09570202833393933,0.07837370589555134,-0.17311460364284062,0.5047893015158403,0.009622306647377819
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.1296461840164294,-0.16045812129786993,0.18581254641290798,-0.3074147140645972,0.8899412223120093,-0.26283294632794385
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.2102053726966705,0.04844604646265623,0.3417015381326229,0.07504775170557676,0.47399405412671725,0.23568683324586595
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.21624322605827734,0.10516496683103894,-0.2533035236583454,0.25035242631907617,-0.6186114271241641,0.3701305442802817
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495095,0.2654316269575649,0.13661671368898667,0.37527923546027714,0.06889953794312592,0.8618293827365119
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.036466297361146524,-0.1328454886814096,-0.08895330433843453,-0.21226471169213584,0.10295629527946532,-0.33045648010926537
6,Retail,Other,12126,3199,6975,480,3140,545,-0.06971559322032471,-0.11732621082881503,-0.14353041259380867,-0.16630589319905745,-0.09216796241777604,-0.2898919276536128
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.043759443842918584,-0.14661913883939395,0.04089698583784364,-0.2627155987279702,0.5540934639173397,-0.3475508620366147
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.09675019886902227,-0.2050602908981756,-0.22048402954290294,-0.3051577883697474,-0.15578901423447675,-0.6896927304727347
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.49366857218997817,-0.15555600801111807,0.7089688368462721,-0.2911925018216326,1.1648509491774433,0.023746724906467856
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.21067780901882707,-0.1696435955528316,0.31974064092419574,-0.3065245780476246,0.8649020932926696,-0.1928630625234259
11,Retail,Other,13146,1124,4523,1420,549,497,-0.22150693569650948,-0.04301981096108618,-0.3554518255692503,0.013874803248532066,-0.6524416952788548,-0.10638673171860977
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660783,0.2930467306242139,0.38544654450739385,0.335728836680736,0.5189256754099237,0.8891844129165526
13,Retail,Other,21217,6208,14982,3095,6707,602,0.2249237128229279,0.08412699715331322,0.3895006007283214,0.05937381327534842,0.7459587900333249,0.6652437528164215
14,Retail,Other,24653,9465,12091,294,5058,2168,0.19615395161835392,0.13023054987066857,0.35551116657293425,0.1442177849516534,0.6716997036238871,0.7605400813714226
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.2060461349804701,-0.11610486588018872,-0.3543552000608613,-0.11021859390248877,-0.5245171920456189,-0.3477885584442488
16,Retail,Other,1020,8816,12121,134,4508,1080,0.22748280410347488,-0.2846927365653204,0.32263564498743097,-0.472218997711166,0.8519358136546632,-0.5460352667323772
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.07176423537634738,-0.08755038735669998,-0.07000249896230819,-0.09035047264311893,-0.03322029329664669,-0.11493113644620075
18,Retail,Other,18601,6327,10099,2205,2767,3181,0.039925904486973036,0.08402689619844286,0.11654191916216314,0.1178531247600943,0.3876603752214007,0.8429922154646659
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.04484567184704739,-0.18519562960453717,-0.12022755406904677,-0.28354820077109333,0.044765436443674096,-0.552769950392241
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.11095404619357678,0.033446974836404034,-0.14690021076745424,0.0995711389693874,-0.30752089028589896,0.44318830528889197
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.2435317728056087,-0.1131100670948573,-0.3995107138663481,-0.09264082017742081,-0.6188073618880083,-0.3876127760478735
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,-0.06805144353149045,0.5381913850229701,0.20435998773200156,0.6356359259636721,-0.1560043348914214,1.005037085312467
23,Retail,Other,26373,36423,22019,5154,4337,16523,0.4514279462992258,0.4340437448097883,0.3902661572691502,0.2569496025734213,0.7065213342862834,0.6250312465235663
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.26356482638519274,0.22849832866870184,0.42781654073334724,0.22478368660722794,0.6516647402081205,0.8093177360160555
25,Retail,Other,16165,4230,7595,201,4003,57,-0.023400880290824388,-0.05949553065770298,-0.03163512873405429,-0.07255095160998645,0.11452974129428212,0.06812692646640439
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.24970476690457302,-0.04868561676100586,-0.4001406036273938,0.008535414697348477,-0.7423357127810755,-0.1765751160825625
27,HoReCa,Other,14276,803,3045,485,100,518,-0.2491491000458861,-0.027513499020590113,-0.37005251264551275,0.053917919214034896,-0.6391505057184967,-0.07438347274703089
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.7542725293909498,0.04020315600901907,0.7016207368605811,0.07310145750804069,1.1249453280505726,0.2130374858337625
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.12638479479376705,0.5346064697582528,0.18268354738980783,0.681484044591124,-0.276492610224019,0.8502143237539167
30,HoReCa,Other,18815,3610,11107,1148,2134,2963,-0.007407037413694919,0.06725798705065156,0.04311921712672548,0.11745335924201536,0.1649308331734674,0.6234542505990078
31,HoReCa,Other,2612,4339,3133,2088,820,985,-0.14954951184126358,-0.19973477021747035,-0.29478662624567464,-0.2721066923785621,-0.320283227744894,-0.65436152009101
32,HoReCa,Other,21632,1318,2886,266,918,405,-0.22685196768119797,0.10124602462623566,-0.2515720524686857,0.2660610840718828,-0.5331976714561585,0.30969511350508777
33,HoReCa,Other,29729,4786,7326,6130,361,1083,-0.1282850581623544,0.3998990975053439,0.04182350289076448,0.626332710568475,-0.2657127763492748,1.016017675868507
34,HoReCa,Other,1502,1979,2262,425,483,395,-0.18919553651563364,-0.2338404951337585,-0.3395076127492348,-0.28598298885766166,-0.3553345601724847,-0.6617378578423454
35,Retail,Other,688,5491,11091,833,4239,436,0.12567680076707383,-0.29264895923809575,0.15318548998698003,-0.4720462749746824,0.6000385488030902,-0.6994720898570786
36,HoReCa,Other,29955,4362,5428,1729,862,4626,-0.07490778440677764,0.35872505699860757,0.11579078334966601,0.5158516314924024,-0.10896559076293615,0.8729278267080993
37,Retail,Other,15168,10556,12477,1920,6506,714,0.27790105664896625,-0.04514595628102558,0.4474462104001663,-0.1505560759794118,1.011085471493387,0.3545071689871444
38,Retail,Other,4591,15729,16709,33,6956,433,0.5088895400207489,-0.17992972966704684,0.6931422223897346,-0.2710746455693035,1.066999096572845,-0.086689726051108
39,HoReCa,Other,56159,555,902,10002,212,2916,0.0011534773885991953,0.8220882021752697,0.38129056315361065,0.5589487619332957,-0.26581608977093246,1.052055768848105
40,HoReCa,Other,24025,4332,4757,9510,1145,5864,-0.03223995554838131,0.4461745338424915,0.21152963142588127,0.515850156728605,-0.07066330438117994,0.8768592401126596
41,HoReCa,Other,19176,3065,5956,2033,2575,2802,-0.09802047435051135,0.096327570383587,-0.09230035545523299,0.19668690026864935,-0.2267615344055902,0.6812704745370014
42,Retail,Other,10850,7555,14961,188,6899,46,0.29889717776416963,-0.1573763642604778,0.4630010122647914,-0.2927065312654562,0.9339095988837426,-0.041495931034714356
43,Retail,Other,630,11095,23998,787,9529,72,0.6333539368942155,-0.18079964350409658,0.7874656499758459,-0.20601239875751112,1.0782110305381698,-0.1264071613347102
44,Retail,Other,9670,7027,10471,541,4618,65,0.11821939187426712,-0.1763370985665657,0.16846143696562313,-0.316067426755096,0.6993504189316263,-0.3014026813903077
45,Retail,Other,5181,22044,21531,1740,7353,4985,0.6897964496445715,0.03594302634917998,0.6868279055313025,0.053047797260248476,1.083771145978029,0.23881263381467752
46,Retail,Other,3103,14069,21955,1668,6792,1452,0.5735478600785705,-0.15203914947613267,0.7630314684360971,-0.23766436946537123,1.13625408372397,-0.007844312938151635
47,Retail,Other,44466,54259,55571,7782,24171,6465,0.434945325630262,0.4415408749362437,0.39027272891473047,0.2579669885514342,1.0468195374740166,0.6355703661769259
48,Retail,Other,11519,6152,10868,584,5121,1476,0.13561872349870388,-0.13176945434573722,0.20654515531327805,-0.2600170566936904,0.8848206201740578,-0.06628411696761541
49,Retail,Other,4967,21412,28921,1798,13583,1163,0.8621295544651945,0.0605727961283939,0.7289714387313021,0.11588236817646168,1.1659077580747392,0.16553202774555253
50,HoReCa,Other,6269,1095,1980,3860,609,2162,-0.22105886892878052,-0.07080960169479118,-0.3430795910530942,-0.03597334791617278,-0.5820706110905141,-0.2261973041128457
51,HoReCa,Other,3347,4051,6996,239,1538,301,-0.07204337365611016,-0.24879079560415732,-0.1808690502894265,-0.3679504169323376,-0.028722944939419775,-0.7430876992955522
52,Retail,Other,40721,3916,5876,532,2587,1278,-0.052117528573165074,0.46849898312245924,0.2038552173913669,0.6261716702573181,-0.08674957266417098,0.8909028791210403
53,Retail,Other,491,10473,11532,744,5611,224,0.2789470212329287,-0.281019265186206,0.403949333133273,-0.44913213591233503,0.8740988275952073,-0.47584878530964064
54,HoReCa,Other,27329,1449,1947,2436,204,1333,-0.24526307257678473,0.286008111170812,-0.162629922946002,0.536716972297852,-0.5661236177888774,0.6849596429801801
55,HoReCa,Other,5264,3683,5005,1057,2024,1130,-0.10371286656973502,-0.19973664295373048,-0.23365873481870802,-0.29885888350892204,-0.20194242985976474,-0.721025598211594
56,Retail,Other,4098,29892,26866,2616,17740,1340,0.8391977821271885,0.2042963808710113,0.54263980382642,0.23277421501496776,1.1345482302711059,0.20080584685527636
57,Retail,Other,5417,9933,10487,38,7572,1282,0.31854221346186706,-0.22071311812153138,0.4746777128635699,-0.3834965416127781,0.990674583048006,-0.2410497362731371
58,HoReCa,Other,13779,1970,1648,596,227,436,-0.2501364703788843,-0.03512437087032119,-0.3782829305730563,0.03896555000533206,-0.6503694520222102,-0.10235035203594324
59,HoReCa,Other,6137,5360,8040,129,3084,1603,0.018968371895104814,-0.21248886497021405,-0.02202293375379344,-0.3573458414066495,0.37312130869020854,-0.6586893364667846
60,Retail,Other,8590,3045,7854,96,4095,225,-0.011511233389875551,-0.1927538496606906,-0.05983051989665677,-0.29868814403366745,0.1794932623136868,-0.5060044485503938
61,Retail,Other,35942,38369,59598,3254,26701,2017,0.5104345084293169,0.4434218772621709,0.39299139703675956,0.25962039045666263,1.096396168156771,0.5179666938410352
62,Retail,Other,7823,6245,6544,4154,4074,964,0.009010223963096878,-0.1133137786238185,-0.009699948119070758,-0.19621106885775422,0.3534299733656377,-0.3086495975566462
63,Retail,Other,9396,11601,15775,2896,7677,1295,0.4270871287557402,-0.10071273995323149,0.640191870600562,-0.2409979989295627,1.155806895392095,0.17863504925210566
64,HoReCa,Other,4760,1227,3250,3724,1247,1145,-0.1948994913015229,-0.1272040065495642,-0.3396877340483363,-0.13477912051815089,-0.5182627933852388,-0.43222666163553697
65,Retail,Other,85,20959,45828,36,24231,1423,0.7539503554469699,0.3101013874055398,0.44103586711671056,0.26167361959169844,1.1483957385883077,0.13524693209006564
66,HoReCa,Other,9,1534,7417,175,3468,27,-0.025740851286434104,-0.29706174231487487,-0.09322374084289005,-0.41307713761200343,0.1062588671903031,-0.7534036783570165
67,Retail,Other,19913,6759,13462,1256,5141,834,0.16258880751479957,0.028913676779727924,0.29240464167051344,0.00012687407189328857,0.7219711661891853,0.57781759849562
68,HoReCa,Other,2446,7260,3993,5870,788,3095,-0.05972027434477839,-0.06749093294707526,-0.05997070116971572,-0.06292199893640783,-0.01517272074014015,-0.09582649452127687
69,HoReCa,Other,8352,2820,1293,779,656,144,-0.2217294468127834,-0.1336712303111615,-0.3794441601753928,-0.13546815859725894,-0.5404623323910834,-0.41775175158718963
70,HoReCa,Other,16705,2037,3202,10643,116,1365,-0.19297475357562924,0.29274146748223673,-0.050606591322371886,0.4810257519427728,-0.42144743365695864,0.5814482961589554
71,HoReCa,Other,18291,1266,21042,5373,4173,14472,0.3614768718640653,0.393844530829971,0.399259755189395,0.2634750903712735,0.42844677839838097,0.5388427699211272
72,HoReCa,Other,4420,5139,2661,8872,1321,181,-0.1307165970681751,0.007139419616990981,-0.11135435138412841,0.09607355497591474,-0.2354513943970502,-0.0033438994733019888
73,Retail,Other,19899,5332,8713,8132,764,648,-0.09581084189636499,0.24528987711419598,0.0008987162689015926,0.4094083190417788,-0.18846182834152422,0.8126110518976687
74,Retail,Other,8190,6343,9794,1285,1901,1780,0.015635017771266843,-0.14957068311069774,-0.010720820028169918,-0.262440564367948,0.425095863972638,-0.45365346639421944
75,HoReCa,Other,20398,1137,3,4407,3,975,-0.2927946967282023,0.19668796820086593,-0.2988019728448939,0.4165342524963791,-0.7545245986949444,0.47757790413847306
76,HoReCa,Other,717,3587,6532,7530,529,894,-0.10781834227646647,-0.08298364178919923,-0.12822467153058562,-0.046547088106978315,-0.16476232815659414,-0.21796638427731946
77,Retail,Other,12205,12697,28540,869,12034,1009,0.7513010200440421,0.012606672707023406,0.7923752448833208,0.0076415899235874225,1.1206394962774133,0.24194671092944947
78,HoReCa,Other,10766,1175,2067,2096,301,167,-0.2574395111741396,-0.06207193703583338,-0.40984981655016234,-0.006883271270861714,-0.7004238678739123,-0.21788075684439456
79,HoReCa,Other,1640,3259,3655,868,1202,1653,-0.12795969270440227,-0.22974051094411618,-0.2610406538069766,-0.31847176755985007,-0.20982097097593036,-0.6871863036900917
80,HoReCa,Other,7005,829,3009,430,610,529,-0.2168706693463673,-0.15819009448044916,-0.3779155808867272,-0.1730841990779726,-0.5043193191568105,-0.48017273279404
81,Retail,Other,219,9540,14403,283,7818,156,0.3976279742424212,-0.2772839137719737,0.5725819154133496,-0.4145797417023828,0.9656659322700974,-0.3749778514272843
82,Retail,Other,10362,9232,11009,737,3537,2342,0.15562033900879202,-0.11935623137668785,0.24022639466350415,-0.2448420655760986,0.9380307119266688,0.022311778152917072
83,HoReCa,Other,20874,1563,1783,2320,550,772,-0.25765635832255984,0.1398862532396066,-0.29618269339744846,0.3308141844880722,-0.6908481647038799,0.4260821525637058
84,Retail,Other,11867,3327,4814,1178,3837,120,-0.0860399135778701,-0.1111709680109187,-0.16487728549520653,-0.14752191500710612,-0.15945036141570265,-0.27285492153587604
85,Retail,Other,16117,46197,92780,1026,40827,2944,0.37939781887327007,0.4217476697144812,0.38833667368322816,0.25626373495613247,1.1496273046754084,0.3385310835504959
86,Retail,Other,22925,73498,32114,987,20070,903,0.4049039217136693,0.4209787594450973,0.38843674479929285,0.25633930577869996,0.9724824531993256,0.3833676285205042
87,HoReCa,Other,43265,5025,8117,6312,1579,14351,0.2789329798705155,0.5687683065439961,0.39483034971194,0.2825635724817166,0.17714702976730026,0.8374567839151436
88,HoReCa,Other,7864,542,4042,9735,165,46,-0.20145112067562065,0.1014060187765873,-0.14163510995777073,0.24733068217591622,-0.4201080075104554,0.14159061626856836
89,HoReCa,Other,24904,3836,5330,3443,454,3178,-0.14695611533869785,0.2756174663879382,-0.0538576201327925,0.47794384547209195,-0.32951050112621466,0.9016782884608256
90,HoReCa,Other,11405,596,1638,3347,69,360,-0.2786526625861946,-0.013904429429952065,-0.4136609279751089,0.07913795302740614,-0.7648710686059701,-0.08585343388841227
91,HoReCa,Other,12754,2762,2530,8693,627,1117,-0.20459268240444772,0.15616091755812325,-0.17362761022052559,0.32250877373418224,-0.4874605703811686,0.39289849545876554
92,Retail,Other,9198,27472,32034,3232,18906,5130,0.8333454214028618,0.28111430149159866,0.5108182391595906,0.2552528225022177,1.1548350904369968,0.34036820400825085
93,HoReCa,Other,11314,3090,2062,35009,71,2698,0.2824341417452912,0.5047582272413778,0.3900350151310968,0.2639131765015504,-0.04139922301103593,0.5324876653575953
94,Retail,Other,5626,12220,11323,206,5038,244,0.2720800867303909,-0.21677829672043755,0.4048812679722288,-0.37052455235944076,0.902849102002835,-0.26788944357674616
95,HoReCa,Other,3,2920,6252,440,223,709,-0.11777952089035562,-0.2632076086518808,-0.24060060089851432,-0.3535239289116528,-0.15294248141700884,-0.7259523252920129
96,Retail,Other,23,2616,8118,145,3874,217,0.016819649058288123,-0.3038568881263291,-0.028894103489517983,-0.4430106441334656,0.2375636987341919,-0.7668978256775625
97,HoReCa,Other,403,254,610,774,54,63,-0.23290476518451578,-0.2200037043466412,-0.36414555189200826,-0.22878674663581602,-0.438479189490325,-0.6101071903197048
98,HoReCa,Other,503,112,778,895,56,132,-0.23396123301421656,-0.21704585925129483,-0.3674269063091252,-0.22596087671538315,-0.44474297540301533,-0.6054946701786983
99,HoReCa,Other,9658,2182,1909,5639,215,323,-0.2476301522037761,0.00802070443284526,-0.3449825426219667,0.10798564535391812,-0.6720002351437817,-0.01227837709486426
100,Retail,Other,11594,7779,12144,3252,8035,3029,0.30962136809841084,-0.04358065723892995,0.4811708315362791,-0.14905364291346054,1.0212350486524613,0.34200475720901696
101,Retail,Other,1420,10810,16267,1593,6766,1838,0.427407379558279,-0.2224780326197228,0.6231583558865993,-0.37777942194277003,1.1107038954484223,-0.19909247065607974
102,Retail,Other,2932,6459,7677,2561,4573,1386,0.0826856433382287,-0.22224091113867114,0.0890065892292742,-0.38479385363196406,0.6231288952200017,-0.6441470321122069
103,HoReCa,Other,56082,3504,8906,18028,1480,2498,0.15657822024412585,0.8031950337830328,0.40849070562391004,0.3960700673826256,-0.05579643972011031,1.0789826233293731
104,HoReCa,Other,14100,2132,3445,1336,1491,548,-0.20036291110339857,-0.03618950340397406,-0.32498847780732576,0.017460408486122177,-0.6290412356346764,-0.05669671931893614
105,HoReCa,Other,15587,1014,3970,910,139,1378,-0.23225288752279605,0.011321915828107048,-0.3355261292554218,0.10881062631909502,-0.6500958512772905,0.09097042990690453
106,Retail,Other,1454,6337,10704,133,6830,1831,0.24678919189927015,-0.27331735032138144,0.3559703986970573,-0.4454110428548869,0.8500377029836901,-0.4713498439595622
107,Retail,Other,8797,10646,14886,2471,8969,1438,0.44481873088107543,-0.11626432950307111,0.6569576061315466,-0.25306715061889945,1.1328766118030587,0.12548255234789193
108,Retail,Other,1531,8397,6981,247,2505,1236,0.05376210243417129,-0.2665473704773537,0.03254596291349813,-0.4257323949664454,0.41992451566106814,-0.6923183687253205
109,Retail,Other,1406,16729,28986,673,836,3,0.5044140636183124,-0.0840493687161528,0.5670440133693176,-0.02176429721600262,0.8466076744483273,-0.0329378435857662
110,HoReCa,Other,11818,1648,1694,2276,169,1647,-0.25063691336413557,-0.019802562050102994,-0.3856418282991101,0.053382087021747564,-0.7471941380562044,-0.05236900511489031
111,Retail,Other,12579,11114,17569,805,6457,1519,0.4075813766569814,-0.08602705042351448,0.6149712853516303,-0.21542501511716697,1.1266111371117138,0.23324827708271634
112,HoReCa,Other,19046,2770,2469,8853,483,2708,-0.18773946020497434,0.30302779208032754,-0.0658696226125343,0.5015456168575976,-0.42732050342881744,0.7242482326350227
113,HoReCa,Other,14438,2295,1733,3220,585,1561,-0.24212101885311815,0.04259139796724809,-0.34891183579487284,0.1564768840853582,-0.7945223177263407,0.1998376969486065
114,HoReCa,Other,18044,1080,2000,2555,118,1266,-0.2678732095799687,0.10016815048450904,-0.341147287616422,0.26519406187565775,-0.7609371665114105,0.32180489391163564
115,HoReCa,Other,11134,793,2988,2715,276,610,-0.25296654488710146,-0.040116766884597185,-0.4010285754637831,0.02562015989037832,-0.7446736549222278,-0.14250206546851646
116,HoReCa,Other,11173,2521,3355,1517,310,222,-0.22265548165073978,-0.07649634562976301,-0.3728441164416735,-0.04533140277986479,-0.6432933308950811,-0.24302371160667058
117,HoReCa,Other,6990,3880,5380,1647,319,1160,-0.1539050524791379,-0.14439015260448515,-0.2976324734428259,-0.19250409541862665,-0.4455800242829277,-0.5152476244213481
118,HoReCa,Other,20049,1891,2362,5343,411,933,-0.2514490006307343,0.19922464212100716,-0.2559813286399122,0.41359224029469527,-0.6971472467333839,0.5924811188205426
119,HoReCa,Other,8258,2344,2147,3896,266,635,-0.23827975472312674,-0.061931823282124716,-0.38485704625799483,-0.017045820057282817,-0.6973197868558391,-0.2287408143446554
120,HoReCa,Other,17160,1200,3412,2417,174,1136,-0.2493715842704665,0.07136644304221094,-0.3382159568239348,0.21355761823079442,-0.7517771197964326,0.2784161754866313
121,HoReCa,Other,4020,3234,1498,2395,264,255,-0.21381724276768696,-0.16409091805056922,-0.3725792335888263,-0.18563089819244374,-0.5004713871574354,-0.5266646762265578
122,HoReCa,Other,12212,201,245,1991,25,860,-0.2920182234685899,-0.016083334730064736,-0.42435483891612363,0.07877409271485145,-0.7554520510958849,-0.09267804919765997
123,Retail,Other,11170,10769,8814,2194,1976,143,0.05645790475706626,-0.08950180436705647,0.09054443614693229,-0.16089831311668942,0.45931301694706234,0.005875231508595364
124,HoReCa,Other,36050,1642,2961,4787,500,1621,-0.18456289328574543,0.5070191477599812,0.06833101231458263,0.7353255086402105,-0.3941619148470346,0.9411586573550241
125,HoReCa,Other,76237,3473,7102,16538,778,918,0.2260704099784063,0.773228426709065,0.4068230009577627,0.3174255981544434,-0.0984348279280446,1.0934505656951081
126,HoReCa,Other,19219,1840,1658,8195,349,483,-0.24422224506263512,0.25898094858476534,-0.16882061944967508,0.4750716088009591,-0.5803246006671852,0.5714711329502034
127,Retail,Other,21465,7243,10685,880,2386,2749,0.04992707875912439,0.10697728116052883,0.14505130547022496,0.1589749878026471,0.36824695837805255,0.7896823044663954
128,HoReCa,Other,140,8847,3823,142,1062,3,-0.033830672023199816,-0.26783947063434527,-0.09016179496558388,-0.36456277820426014,0.09424987307299905,-0.6576480425920512
129,HoReCa,Other,42312,926,1510,1718,410,1819,-0.15536621968086295,0.5523462486611448,0.16521177354728603,0.7019507615988395,-0.34441813859308545,0.8609681703287699
130,HoReCa,Other,7149,2428,699,6316,395,911,-0.23844093502111569,-0.0041765693770760125,-0.3181928187011845,0.0879120828346944,-0.5974332488235776,-0.059363164554183785
131,HoReCa,Other,2101,589,314,346,70,310,-0.238152912910091,-0.20587931624902026,-0.379024124874507,-0.2158708218497769,-0.4635785010345355,-0.5787137976395581
132,HoReCa,Other,14903,2032,2479,576,955,328,-0.22455448409449888,-0.027750066868456456,-0.34171939430071546,0.04547060965434444,-0.6021386610561439,-0.049941192020879085
133,HoReCa,Other,9434,1042,1235,436,256,396,-0.2529158472299519,-0.10894680371044523,-0.4060073391274108,-0.08040239432537254,-0.6026583826788329,-0.33901769288577094
134,HoReCa,Other,7388,1882,2174,720,47,537,-0.23177236419238956,-0.1409128159196985,-0.3963433707492266,-0.14462575969882988,-0.5606181849094807,-0.4407051920326436
135,HoReCa,Other,6300,1289,2591,1170,199,326,-0.2303398681292133,-0.15295641660549578,-0.39732774261838955,-0.16217998811174533,-0.5495345274104397,-0.4815972133534387
136,HoReCa,Other,4625,8579,7030,4575,2447,1542,0.02596210541759124,-0.1288970989257549,0.021893285183876066,-0.2159418420701769,0.3741944617519522,-0.2856755098802167
137,HoReCa,Other,3087,8080,8282,661,721,36,-0.006199399100457427,-0.2367435759723471,-0.05358515572264582,-0.35499016249635035,0.19258974877105103,-0.607783732240409
138,HoReCa,Other,13537,4257,5034,155,249,3271,-0.12701414053323412,-0.01519458701333754,-0.16553635977965092,0.023426381250421596,-0.25045509731565196,0.12383531051663235
139,HoReCa,Other,5387,4979,3343,825,637,929,-0.1474129484665287,-0.1846504748870702,-0.2905099077731142,-0.25377422418426665,-0.3261147138942428,-0.5968350946932289
140,HoReCa,Other,17623,4280,7305,2279,960,2616,-0.10815885478616767,0.07714576318792221,-0.12177803098212565,0.16569803317833623,-0.3123403321213218,0.6598433811338883
141,HoReCa,Other,30379,13252,5189,321,51,1450,0.002560092284410772,0.2918447484906805,0.185510012385197,0.40623128824456295,0.08226444234570202,0.7478100019184146
142,HoReCa,Other,37036,7152,8253,2995,20,3,-0.0690397456513294,0.4490114865836899,0.16751582885839342,0.6198053550109616,-0.1170838405711979,0.9194240321215172
143,HoReCa,Other,10405,1596,1096,8425,399,318,-0.2405309921351825,0.10764982976925432,-0.2282951952676471,0.26305044158218377,-0.5512430953970939,0.18826236614005248
144,HoReCa,Other,18827,3677,1988,118,516,201,-0.21816303295513098,0.042378193904881574,-0.2776535426398609,0.16401730974887313,-0.5274023981279824,0.1708198170267595
145,Retail,Other,22039,8384,34792,42,12591,4430,0.7117027383037547,0.19387878871745334,0.5947264081346477,0.17396911873125778,1.0061412291842273,0.46791038275625146
